Stellar,Mass,Luminosity,Radius,Temp,Color Index,Abs Mag,Bolo Corr,Bolo Mag,Star Color
Type,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,B-V,Mv,BC(Temp),Mbol,RGB 0-255
S2IV,2.7,5.09E+01,2.44E+01,3167,1.65,3.2,-2.72,0.48,255 211 157
S2V,0.4,3.21E-02,6.14E-01,3167,1.65,11.2,-2.72,8.48,255 196 131
S2VI,0.2,8.85E-03,3.22E-01,3167,1.65,12.6,-2.72,9.88,255 196 131
S3Ia0,13.8,5.07E+06,7.89E+03,3130,1.67,-9.2,-2.81,-12.01,255 192 118
S3Ia,11.6,7.33E+05,3.00E+03,3130,1.67,-7.1,-2.81,-9.91,255 192 118
S3Ib,9.3,1.68E+05,1.44E+03,3130,1.67,-5.5,-2.81,-8.31,255 192 118
S3II,7.1,1.40E+04,4.14E+02,3130,1.67,-2.8,-2.81,-5.61,255 201 119
S3III,4.8,1.84E+03,1.50E+02,3130,1.67,-0.6,-2.81,-3.41,255 200 119
S3IV,2.6,7.76E+01,3.36E+01,3000,1.74,3.2,-3.18,0.02,255 210 156
S3V,0.3,1.78E-02,5.09E-01,3000,1.74,12.3,-3.18,9.12,255 206 129
S3VI,0.2,4.90E-03,2.67E-01,3000,1.74,13.7,-3.18,10.52,255 206 129
S4Ia0,13.2,8.38E+06,1.15E+04,2940,1.77,-9.2,-3.36,-12.56,255 185 104
S4Ia,11,1.10E+06,4.18E+03,2940,1.77,-7,-3.36,-10.36,255 185 104
S4Ib,8.9,2.77E+05,2.09E+03,2940,1.77,-5.5,-3.36,-8.86,255 185 104
S4II,6.7,2.31E+04,6.04E+02,2940,1.77,-2.8,-3.36,-6.16,255 199 114
S4III,4.6,2.77E+03,2.09E+02,2940,1.77,-0.5,-3.36,-3.86,255 206 127
S4IV,2.4,1.27E+02,4.83E+01,2833,1.83,3.2,-3.71,-0.51,255 209 155
S4V,0.3,1.06E-02,4.40E-01,2833,1.83,13.4,-3.71,9.69,255 201 127
S4VI,0.1,2.66E-03,2.21E-01,2833,1.83,14.9,-3.71,11.19,255 201 127
S5Ia0,12.5,1.53E+07,1.78E+04,2750,1.88,-9.2,-4.01,-13.21,255 178 078
S5Ia,10.5,2.02E+06,6.45E+03,2750,1.88,-7,-4.01,-11.01,255 178 078
S5Ib,8.4,5.07E+05,3.23E+03,2750,1.88,-5.5,-4.01,-9.51,255 178 078
S5II,6.4,4.62E+04,9.76E+02,2750,1.88,-2.9,-4.01,-6.91,255 197 110
